Price,Close,High,Low,Open,Volume
8/16/21,35625.39844,35631.19141,35231.87109,35490.82813,292590000
8/17/21,35343.28125,35500.01172,35120.30859,35500.01172,309410000
8/18/21,34960.69141,35356.80078,34943.41016,35310.19922,289800000
8/19/21,34894.12109,34997.80859,34690.25,34874.67188,333550000
8/20/21,35120.07813,35177.26172,34867.07031,34917.96094,269320000
8/23/21,35335.71094,35428.91016,35160.96875,35160.96875,245760000
8/24/21,35366.26172,35445.46875,35356.17969,35382.71875,228710000
8/25/21,35405.5,35501.14063,35287.62891,35388.76953,237230000
8/26/21,35213.12109,35498.44922,35205.10156,35449.67969,239740000
8/27/21,35455.80078,35479.17969,35231.10938,35231.10938,240990000
8/30/21,35399.83984,35510.71094,35374.46094,35471.80078,245390000
8/31/21,35360.73047,35449.78906,35289.85938,35391.37891,337240000
9/1/21,35312.53125,35407.37109,35287.05078,35387.55078,265520000
9/2/21,35443.82031,35475.39844,35348.48047,35353.05859,263370000
9/3/21,35369.08984,35422.71094,35269.39844,35401.73047,221370000
9/7/21,35100,35373.23828,35060.89844,35373.23828,289830000
9/8/21,35031.07031,35175.14844,34925.60938,35087.44922,261880000
9/9/21,34879.37891,35199.89063,34847.30078,35013.07813,261330000
9/10/21,34607.71875,35104.25,34599.60938,34949.58984,333230000
9/13/21,34869.62891,34939.10156,34665.5,34665.5,334190000
9/14/21,34577.57031,34990.35938,34510.30078,34906.89844,325140000
9/15/21,34814.39063,34880.76953,34522.03125,34580.94922,317490000
9/16/21,34751.32031,34943.55078,34540.10938,34810.26953,278270000
9/17/21,34584.87891,34779.85938,34519.62891,34737.85938,560630000
9/20/21,33970.46875,34459.71875,33613.03125,34459.71875,435780000
9/21/21,33919.83984,34313.87891,33914.01953,34025.60938,306970000
9/22/21,34258.32031,34440.42188,34006.87109,34006.87109,296590000
9/23/21,34764.82031,34879.78125,34296.30078,34296.30078,283890000
9/24/21,34798,34857.05859,34648.07813,34762.30859,254310000
9/27/21,34869.37109,35061.12109,34739.26953,34739.26953,289480000
9/28/21,34299.98828,34798.21094,34254.64844,34747.69922,379020000
9/29/21,34390.71875,34580.42188,34305.96094,34360.07813,290350000
9/30/21,33843.92188,34557.37109,33833.32031,34467.98047,354830000
10/1/21,34326.46094,34490.55859,33785.53906,33930.69922,427580000
10/4/21,34002.92188,34410.28125,33821.57813,34312.96094,396860000
10/5/21,34314.67188,34490.94922,34035.25,34035.25,311520000
10/6/21,34416.98828,34432.67969,33854.69141,34198.96094,322170000
10/7/21,34754.94141,34975.19141,34509.71875,34509.71875,273290000
10/8/21,34746.25,34842.62109,34661.94922,34757.57031,238080000
10/11/21,34496.05859,34951.35156,34486.51172,34723.78906,256820000
10/12/21,34378.33984,34611.23828,34318.94141,34507.14844,319010000
10/13/21,34377.80859,34449.82813,34115.10156,34372.71094,316220000
10/14/21,34912.55859,34923.82813,34443.21875,34443.21875,338540000
10/15/21,35294.76172,35320.96875,35023.62891,35023.62891,327870000
10/18/21,35258.60938,35327.57031,35035.94141,35221.01953,312640000
10/19/21,35457.30859,35462.67969,35290.12109,35325.37109,278510000
10/20/21,35609.33984,35669.69141,35465.71094,35475.16016,265750000
10/21/21,35603.07813,35612.35938,35442.53125,35520.32031,298390000
10/22/21,35677.01953,35765.01953,35533.94922,35607.71875,346290000
10/25/21,35741.14844,35787.03906,35629.37109,35692.62109,267220000
10/26/21,35756.87891,35892.92188,35734.73047,35791.05078,321910000
10/27/21,35490.69141,35835.42969,35490.42969,35835.42969,354180000
10/28/21,35730.48047,35742.25,35545.41016,35545.41016,337400000
10/29/21,35819.55859,35852.53125,35633.19922,35712.28125,399400000
11/1/21,35913.83984,36009.73828,35797.96875,35833.64844,292880000
11/2/21,36052.62891,36088.80859,35884.12891,35935.10938,304510000
11/3/21,36157.57813,36178.51172,35891.73047,36059.08984,262540000
11/4/21,36124.23047,36168.03125,35986.48047,36107.46094,307640000
11/5/21,36327.94922,36484.75,36190.19922,36268.75,344600000
11/8/21,36432.21875,36565.73047,36334.42188,36416.46094,284400000
11/9/21,36319.98047,36416.98047,36173.07031,36404.53125,258020000
11/10/21,36079.94141,36346.60938,36009.5,36299.25,278390000
11/11/21,35921.23047,36108.17188,35915.26953,36038.78125,270320000
11/12/21,36100.30859,36147.62891,35934.58984,35963.78125,293180000
11/15/21,36087.44922,36236.07031,36031.78125,36128.82813,280660000
11/16/21,36142.21875,36316.60938,36076.17969,36076.17969,308290000
11/17/21,35931.05078,36159.69922,35909.48047,36159.69922,358310000
11/18/21,35870.94922,35952.62891,35654.39063,35901.69141,435080000
11/19/21,35601.98047,35879.08984,35555.37109,35879.08984,408840000
11/22/21,35619.25,35929.66016,35615.55078,35631.41016,420810000
